Country Name,Country Code,2010,2011,2012,2013,2014
Kuwait,KWT,10.60000038,21.60000038,21.10000038,20.5,19.39999962
Latin America & Caribbean (excluding high income),LAC,14.91169585,14.23968925,13.51863412,13.21254539,13.86430965
Lao PDR,LAO,3.200000048,3.200000048,3.299999952,3.299999952,3.400000095
Lebanon,LBN,20.89999962,20.79999924,20.79999924,20.20000076,20.70000076
Liberia,LBR,5,5,5,4.599999905,4.599999905
Libya,LBY,43.79999924,42.59999847,46.20000076,47,48.90000153
Latin America & Caribbean,LCN,15.13383257,14.43314856,13.69538622,13.39231665,14.03033962
Least developed countries: UN classification,LDC,11.40659968,11.45290947,11.43183197,11.40736868,11.4583221
Low income,LIC,10.38537713,10.42106075,10.40527048,10.21640793,10.22931929
Sri Lanka,LKA,18.79999924,16.89999962,16.60000038,18.39999962,19.10000038
Lower middle income,LMC,13.06103102,13.12808185,13.23102283,13.32071141,13.38482462
Low & middle income,LMY,13.14487964,13.11082944,13.228547,13.26902482,13.46700801
Lesotho,LSO,35.59999847,37.79999924,36,30.5,33
Late-demographic dividend,LTE,11.58609725,11.49734972,11.56805377,11.81621141,12.06561389
Lithuania,LTU,35.20000076,32,26.20000076,21.89999962,21.5
Luxembourg,LUX,14.5,16.79999924,18.5,19.20000076,16
Latvia,LVA,34.90000153,31,28.29999924,23.10000038,19.29999924
"Macao SAR, China",MAC,5.300000191,5.800000191,5,3.5,2.900000095
Morocco,MAR,17.70000076,17.79999924,18.5,18.39999962,20.20000076
Moldova,MDA,17.70000076,15.10000038,13.10000038,13.5,8.5
Madagascar,MDG,6.199999809,6.199999809,6.199999809,5.599999905,5.199999809
Maldives,MDV,25.39999962,25.5,26.60000038,26,26.89999962
Middle East & North Africa,MEA,25.92388649,28.71213163,29.65067464,29.93350003,30.40355258
Mexico,MEX,9.399999619,10,9.5,9.399999619,9.899999619
Middle income,MIC,13.45367703,13.42221763,13.56830105,13.65192373,13.89020455
"Macedonia, FYR",MKD,53.70000076,55.40000153,53.79999924,51.79999924,50.79999924
Mali,MLI,10.30000019,10.39999962,10.5,10.5,10.5
Malta,MLT,13.19999981,14,14.30000019,14.10000038,13.60000038
Myanmar,MMR,9.399999619,9.399999619,9.300000191,9.300000191,9.5
Middle East & North Africa (excluding high income),MNA,26.50492496,29.63539225,30.89008842,31.21148325,31.68383291
Montenegro,MNE,46,37.20000076,41.29999924,40.5,39.5
Mongolia,MNG,14.10000038,9,9.600000382,9.600000382,9.300000191
Mozambique,MOZ,40.70000076,40.70000076,40.70000076,40.70000076,40.70000076
Mauritania,MRT,46.70000076,46.70000076,46.5,46.59999847,46.59999847
Mauritius,MUS,23.10000038,21.70000076,23.70000076,21.89999962,21.20000076
Malawi,MWI,13.80000019,13.89999962,14,13.89999962,13.80000019
Malaysia,MYS,11,10,10.19999981,10.60000038,6.699999809
North America,NAC,18.32792309,17.08694564,16.29165096,15.61048814,13.94309959
Namibia,NAM,44.09999847,40.09999847,34.20000076,40.59999847,38.70000076
Niger,NER,7.199999809,7.300000191,7.199999809,7.199999809,7.099999905
Nigeria,NGA,13.80000019,13.80000019,13.69999981,13.60000038,13.60000038
Nicaragua,NIC,12.30000019,11.60000038,10.60000038,7.699999809,7.599999905
Netherlands,NLD,8.800000191,7.5,9.5,11,11.10000038
Norway,NOR,9.199999809,8.699999809,8.600000382,9.100000382,8.399999619
Nepal,NPL,4,4,4,4,4
New Zealand,NZL,17,17.20000076,17.70000076,15.80000019,14.60000038
OECD members,OED,17.24663479,16.76466772,17.08544365,16.92381884,16.40832082
Oman,OMN,19.29999924,19,18.79999924,18.60000038,18.79999924
Other small states,OSS,24.25900774,23.53717391,22.87488947,23.21186902,23.32133744
Pakistan,PAK,8.199999809,8.100000382,8.100000382,8.300000191,8.600000382
Panama,PAN,14.89999962,11.89999962,10,10.10000038,11
Peru,PER,9,9.5,8.5,8.699999809,9.199999809
Philippines,PHL,16.79999924,16.10000038,16.39999962,16.60000038,16.39999962
Papua New Guinea,PNG,5.400000095,5.300000191,5.400000095,5.5,5.400000095
Poland,POL,23.39999962,25.5,26.39999962,27.20000076,24
Pre-demographic dividend,PRE,13.99682244,14.07091362,13.96399871,13.9281007,13.97984133
Puerto Rico,PRI,30.60000038,30.10000038,27.39999962,28.10000038,27.79999924
"Korea, Dem. People‰Ûªs Rep.",PRK,10.19999981,10.30000019,10.69999981,10.60000038,10.60000038
Portugal,PRT,22.29999924,30,37.59999847,37.79999924,36.79999924
Paraguay,PRY,11.89999962,10.19999981,10.39999962,10.5,9.300000191
Post-demographic dividend,PST,17.79825563,17.47630499,18.01824685,17.89016227,17.19878334
Qatar,QAT,1.5,1.700000048,1.600000024,1.200000048,1.299999952
Romania,ROU,22.29999924,23.89999962,22.79999924,23.79999924,25.10000038
Russian Federation,RUS,16.79999924,15.30000019,15,14.10000038,12.89999962
Rwanda,RWA,0.699999988,0.699999988,0.699999988,0.699999988,0.699999988
South Asia,SAS,9.943292742,9.995086959,10.27067436,10.18971664,10.25114911
Saudi Arabia,SAU,29.79999924,30.10000038,28,28.70000076,29.5
Sudan,SDN,22.79999924,22.70000076,22.70000076,23,23.29999924
Senegal,SEN,13,12.39999962,12.30000019,13,13
Singapore,SGP,9.899999619,9.199999809,9,9,9.600000382
Solomon Islands,SLB,9.100000382,8.899999619,9.300000191,9.399999619,9.5
Sierra Leone,SLE,5.099999905,5.099999905,5,4.900000095,4.900000095
El Salvador,SLV,13,12,11.89999962,11.19999981,11.69999981
Somalia,SOM,10.5,10.5,10.5,10.60000038,10.60000038
Serbia,SRB,45.5,50.40000153,50.59999847,49.70000076,49.5
Sub-Saharan Africa (excluding high income),SSA,14.6525289,14.52390793,14.50369884,14.05060419,14.12429974
Sub-Saharan Africa,SSF,14.6525289,14.52390793,14.50369884,14.05060419,14.12429974
Small states,SST,24.04004695,23.26828156,23.13758557,23.47112157,23.19441722
Suriname,SUR,20.70000076,19,17.39999962,15.5,17.89999962
Slovak Republic,SVK,33.70000076,33.09999847,33.90000153,33.5,31.10000038
Slovenia,SVN,14.60000038,15.80000019,20.60000038,22.79999924,20.79999924
Sweden,SWE,25.20000076,23.20000076,24.20000076,23.79999924,22.79999924
Swaziland,SWZ,42,42.20000076,42,42,42.59999847
Syrian Arab Republic,SYR,19.29999924,33.70000076,33.70000076,32.40000153,30.10000038
Chad,TCD,10.39999962,10.89999962,10.60000038,10.69999981,10.5
East Asia & Pacific (IDA & IBRD countries),TEA,11.0109481,10.69248343,10.89372738,11.52289643,11.8060541
Europe & Central Asia (IDA & IBRD countries),TEC,19.64773365,19.00293831,18.67570559,18.28437104,17.97349256
Togo,TGO,10.80000019,10.80000019,10.69999981,10.69999981,10.69999981
Thailand,THA,4,2.900000095,3.099999905,3.200000048,3.900000095
Tajikistan,TJK,17.29999924,16.39999962,15.39999962,15.69999981,15.5
Turkmenistan,TKM,20.60000038,21,20.70000076,20.60000038,20.20000076
Latin America & the Caribbean (IDA & IBRD countries),TLA,15.16645796,14.45004448,13.70704996,13.39182653,14.04106929
Middle East & North Africa (IDA & IBRD countries),TMN,26.36887616,29.57835834,30.80394975,31.10587728,31.52178768
Timor-Leste,TLS,13.10000038,12.60000038,13.39999962,13.39999962,14
South Asia (IDA & IBRD),TSA,9.943292742,9.995086959,10.27067436,10.18971664,10.25114911
Sub-Saharan Africa (IDA & IBRD countries),TSS,14.6525289,14.52390793,14.50369884,14.05060419,14.12429974
Trinidad and Tobago,TTO,14,11.19999981,12.39999962,9.100000382,10.60000038
Tunisia,TUN,29.39999962,42.70000076,32.79999924,31.29999924,31.79999924
Turkey,TUR,21.20000076,17.89999962,17.10000038,16.5,17.70000076
Tanzania,TZA,5.599999905,6.599999905,6,5.300000191,5.5
Uganda,UGA,7.400000095,7.400000095,7.400000095,7.400000095,6.800000191
Ukraine,UKR,17.39999962,19,17.29999924,16,16.89999962
Upper middle income,UMC,13.91807947,13.77960544,13.99281199,14.08622741,14.58100923
Uruguay,URY,20.79999924,17.89999962,18.5,18.10000038,19.10000038
United States,USA,18.70000076,17.39999962,16.5,15.80000019,14
Uzbekistan,UZB,20.60000038,20.60000038,20.60000038,20.5,20.29999924
"Venezuela, RB",VEN,17.5,17.39999962,17.10000038,14.80000019,17.10000038
Vietnam,VNM,6.099999905,5.300000191,5,6.300000191,6.300000191
West Bank and Gaza,PSE,37.70000076,34.09999847,37.29999924,38.70000076,42.70000076
World,WLD,13.78495694,13.71467257,13.87429289,13.90383191,13.9871842
"Yemen, Rep.",YEM,30.29999924,30,30.20000076,30.20000076,29.89999962
South Africa,ZAF,50.79999924,50.09999847,52.20000076,51.40000153,52.59999847
"Congo, Dem. Rep.",COD,12.30000019,12.30000019,12.30000019,12.19999981,11.89999962
Zambia,ZMB,26.39999962,26.60000038,26.60000038,25.5,25.10000038
Zimbabwe,ZWE,9.600000382,8.300000191,8.300000191,8.899999619,9.399999619
